prompt,completion
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.top-middle input {    width: 100%;    padding: 8px 0;}","@media (max-width: 375px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 376px) and (max-width: 480px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 481px) and (max-width: 620px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 621px) and (max-width: 768px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 769px) and (max-width: 990px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.top-middle input {    width: 100%;    padding: 8px 0;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}","@media (max-width: 375px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 376px) and (max-width: 480px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 481px) and (max-width: 620px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 621px) and (max-width: 768px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 769px) and (max-width: 990px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.search-dropdown {    font-weight: 300;    font-size: 14px;    background-color: #ffffff !important;    border-right: 1px solid #cccccc;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.search-btn {    background: #f3a847;    border-color: #f3a847;}","@media (max-width: 375px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 376px) and (max-width: 480px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 481px) and (max-width: 620px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 621px) and (max-width: 768px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 769px) and (max-width: 990px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.search-btn {    background: #f3a847;    border-color: #f3a847;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.language,.account-list,.return-order {    margin-right: 10px;}","@media (max-width: 375px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.language,.account-list,.return-order {    margin-right: 10px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}","@media (max-width: 375px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 376px) and (max-width: 480px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 481px) and (max-width: 620px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 621px) and (max-width: 768px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 769px) and (max-width: 990px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.language i {    margin-left: -5px;    font-size: 10px;    color: #CCCCCC;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.line-2 i {    font-size: 10px;    color: #CCCCCC;}","@media (max-width: 375px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 376px) and (max-width: 480px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 481px) and (max-width: 620px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 621px) and (max-width: 768px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 769px) and (max-width: 990px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.line-2 i {    font-size: 10px;    color: #CCCCCC;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}","@media (max-width: 375px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 376px) and (max-width: 480px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 481px) and (max-width: 620px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 621px) and (max-width: 768px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 769px) and (max-width: 990px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.cart {    font-size: 14px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.header {    background: #232F3E;    padding: 5px 0px;}","@media (max-width: 375px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.header {    background: #232F3E;    padding: 5px 0px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.header ul {    list-style-type: none;    margin-bottom: 0;}","@media (max-width: 375px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 376px) and (max-width: 480px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 481px) and (max-width: 620px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 621px) and (max-width: 768px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 769px) and (max-width: 990px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.header ul {    list-style-type: none;    margin-bottom: 0;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.header ul li {    margin-right: 20px;}","@media (max-width: 375px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.header ul li {    margin-right: 20px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.header ul li {    margin-right: 20px;}
}"
